"colore_di_partenza","righe_sorgente"
"GFR","37"
"CBM","29"
"KAKI","28"
"WHT","23"
"LI- PS","22"
"AMB","20"
"CRP (CRS)","20"
"NTP","20"
"FSK","19"
"MRM","18"
"WHM","18"
"ZPM","18"
"CHD","17"
"FANTASIA TEJIDO SRE091","15"
"PKS","15"
"SUDAN BROWN E3808-2021","15"
"RENAI.ROSE E3808-3083","14"
"SPR","14"
"TANGO RED E3808-3029","14"
"AZAFATA","12"
"LIQUEN","12"
"4ANNI","11"
"CEDAR GREEN E3898-4033","11"
"CHARDONNAY","11"
"GIRAFFA TURCHESE + Voile","11"
"NOCHE","11"
"NUDE","11"
"FANTASIA TEJIDO MTD 68951","10"
"PINK","10"
"STELLA MARINA","10"
"WHT (NTU)","10"
"BLUE BONNET E3808-5062","9"
"KAKI LINO","9"
"VYC","9"
"ACP","8"
"CIND B3805-2001","8"
"DSF 0-9999 3060","8"
"NTV","8"
"Fantasia Animali","7"
"45 BORDEAUX VOILE","6"
"55 PINK Voile","6"
"ACQULONI","6"
"BRP","6"
"CBP","6"
"CINDER B3805-2001","6"
"CMC.C55.FW2022.B","6"
"CMC.C55.FW2022.G","6"
"ECRU'","6"
"LI-043 Kaki","6"
"LIPS","6"
"MARINA","6"
"MARINA/BLUE SHADOW","6"
"MGL.C77.FW2122.RC","6"
"MGL.C77.FW2122.RV","6"
"MGL.C88.FW2022.B","6"
"MGL.C88.FW2022.N","6"
"MGL.C88.FW2022.RL","6"
"MGL.C88.FW2022.RR","6"
"MGL.C88.FW2022.V","6"
"Mussolina","6"
"PNT.C88.FW2022.A","6"
"PNT.C88.FW2022.V","6"
"RAPUNZEL/ORANGE","6"
"SAL.E38.FW2022.B","6"
"SAL.E38.FW2022.R","6"
"SAL.E38.FW2022.V","6"
"SLP.444.FW2022.B","6"
"SLP.444.FW2022.C","6"
"SLP.444.FW2022.V","6"
"TTN.C77.FW2022.A","6"
"TTN.C77.FW2022.B","6"
"TTN.C77.FW2022.S","6"
"TTN.C77.FW2022.V","6"
"TTN.E38.FW2022.B","6"
"TTN.E38.FW2022.R","6"
"TTN.E38.FW2022.V","6"
"VOILE 94 LILLAC","6"
"VST.E38.FW2022.B","6"
"VST.E38.FW2022.R","6"
"VST.E38.FW2022.V","6"
"ZEB","6"
"52 LIGHT SAND","5"
"ACP ROSE","5"
"B3828 POPLINE ALLOVER","5"
"CAPPUCCINO O4444 2018","5"
"CPP3830-9145 Flanell Karo","5"
"FKS","5"
"GSM","5"
"IVEY GREEN O444-4018","5"
"MRD","5"
"MSB","5"
"P3830 SOFT TWILL,KARO","5"
"PCB","5"
"RAPUNZEL /GREEN","5"
"RAS","5"
"RBP","5"
"RED","5"
"RED (ROSSO)","5"
"RED TANGO","5"
"ROS","5"
"SWEET LAVENDER","5"
"TANGO RED E3808 - 3083","5"
"VSC (NTU)","5"
"14","4"
"AQUILONI","4"
"CEDAR GREEN","4"
"CID (B3805-2001)","4"
"DEN","4"
"ECRU","4"
"IGR B 3808-4018","4"
"JUMBO","4"
"LIPS LINO","4"
"N3890 SWEAR, ALLOVER","4"
"RAB B3805-1020","4"
"TMC","4"
"TVE","4"
"ZEB Popline","4"
"FANTASIA CILIEGIE","3"
"FARWAY - COMO","3"
"PDF","3"
"PKT","3"
"SEA GREEN B3805-4015","3"
"V752 SAND TEJIDO","3"
"5","2"
"Acqua","2"
"AMB (ROSSO)","2"
"BAT","2"
"BLUETTE","2"
"CEDRO","2"
"CHARDONNEY","2"
"fantasia gatti","2"
"FLOWER + FUCSIA","2"
"Flowers","2"
"Flowers (MTD)","2"
"Ft Sadia","2"
"Glicine","2"
"IN MAG ERA INSERITO 1PZ ma in tot sono 2","2"
"Petunia (geranio)","2"
"Prugna","2"
"RAB B3805-1021","2"
"RASPHODY","2"
"ROSA","2"
"ROSSO","2"
"Sogno (Rosa)","2"
"verde","2"
"12mesi","1"
"13","1"
"176","1"
"19","1"
"20","1"
"26","1"
"28","1"
"4","1"
"AB04","1"
"AB10","1"
"ARANCIONE + TOPPE A CONTRASTO","1"
"BORDEAUX","1"
"BTA (Bordò)","1"
"CAM08","1"
"CBM (manca taglia anni)","1"
"CELESTE","1"
"Ecru  (SRE)","1"
"ELEFANTE FODERA FUCSIA","1"
"FLOWER","1"
"FLOWER+  FODERA PINK","1"
"FLOWER+ AZAFATA","1"
"FLOWER+ PINK","1"
"Giallo","1"
"iN FATTURA RISULTA 8 PZ  FISICAMENTE ABBIAMO 10","1"
"In ft risultano 10 pz ma abbiamo 11","1"
"Jeans","1"
"JUMBO +TOPPE CHARDONNEY","1"
"JUMBO+ chardonney","1"
"JUMBO+ LILAC","1"
"JUMBO+ PINK","1"
"JUMBO+ PINK fucsia","1"
"LIGHT LAVENDER","1"
"LINO","1"
"Magenta","1"
"Marrone","1"
"mere prodotta","1"
"MINT GREEN","1"
"MODELLI","1"
"OCRA","1"
"PAN06","1"
"PANTALONE VOILE BIANCO","1"
"PINK/FUCSIA","1"
"RAB","1"
"RAB B3805-1022","1"
"RAB B3805-1023","1"
"RASPHODY MUSSOLINA FODERA JUMBO","1"
"RENAISSANCE ROSE.  NRR","1"
"ROSA MUSSOLINA ZEPHER","1"
"ROSE 43 VERHEES popline","1"
"ROSE DAWN MUSSOLINA","1"
"SWEET LAVENDER (lil)","1"
"Tejido voile estampe tessuto a fiori","1"
"VERDE (NCG)","1"
"Voile Bianco","1"
