colore_di_partenza,colore_di_destinazione
45 BORDEAUX VOILE,Bordeaux e mattone
52 LIGHT SAND,Beige e sabbia
55 PINK Voile,Rosa cipria e nude
ACP,Fantasie: personaggi
ACP ROSE,Rosa cipria e nude
Acqua,Celeste lino e polvere
ACQULONI,Fantasia marina
AMB,Rosso e ciliegia
AMB (ROSSO),Rosso e ciliegia
AQUILONI,Fantasie: natura
ARANCIONE + TOPPE A CONTRASTO,
AZAFATA,Azzurro polvere e denim
B3828 POPLINE ALLOVER,Fantasie: animali
BAT,
BLUE BONNET E3808-5062,Azzurro polvere e denim
BLUETTE,Blu e azzurro intenso
BORDEAUX,Bordeaux e mattone
BRP,Rosa pastello e antico
BTA (Bordò),Bordeaux e mattone
CAPPUCCINO O4444 2018,Marrone e mocha
CBM,Off-white e cloud
CBP,
CEDAR GREEN,Verde bosco e scuri
CEDAR GREEN E3898-4033,Verde bosco e scuri
CEDRO,Giallo e ocra
CELESTE,Celeste lino e polvere
CHARDONNAY,Giallo e ocra
CHARDONNEY,Giallo e ocra
CHD,Giallo e ocra
CID (B3805-2001),Grigio melange e chiaro
CIND B3805-2001,Grigio melange e chiaro
CINDER B3805-2001,Antracite e grigio scuro
CMC.C55.FW2022.B,
CMC.C55.FW2022.G,
CPP3830-9145 Flanell Karo,Marrone e mocha
CRP (CRS),Fucsia e rosa vivace
DEN,Azzurro polvere e denim
DSF 0-9999 3060,Rosa pastello e antico
Ecru,Ecru e lino naturale
ECRU,Ecru e lino naturale
Ecru  (SRE),Ecru e lino naturale
ECRU',Ecru e lino naturale
ELEFANTE FODERA FUCSIA,Fantasie: animali
Fantasia Animali,Fantasie: animali
FANTASIA CILIEGIE,Fantasie: natura
fantasia gatti,Fantasie: animali
Fantasia gatti,Fantasie: animali
FANTASIA TEJIDO MTD 68951,Fantasie: natura
FANTASIA TEJIDO SRE091,Fantasie: natura
FARWAY - COMO,
FKS,
FLOWER,Fantasie: natura
FLOWER + FUCSIA,Fantasie: natura
FLOWER+  FODERA PINK,Fantasie: natura
FLOWER+ AZAFATA,Fantasie: natura
FLOWER+ PINK,Fantasie: natura
Flowers,Fantasie: natura
Flowers (MTD),Fantasie: natura
FSK,Fantasie: personaggi
GFR,Fantasie: animali
