name,slug,productCount
Antracite e grigio scuro,antracite-e-grigio-scuro,0
Azzurro polvere e denim,azzurro-polvere-e-denim,16
Beige e sabbia,beige-e-sabbia,0
Bering sea,bering-sea,2
Bianco puro,bianco-puro,4
Blu e azzurro intenso,blu-e-azzurro-intenso,6
Blu navy e notte,blu-navy-e-notte,4
Bordeaux e mattone,bordeaux-e-mattone,7
Cam11 Ecrù,cam11-ecru,0
Celeste lino e polvere,celeste-lino-e-polvere,2
Ecru e lino naturale,ecru-e-lino-naturale,5
Fantasia marina,fantasia-marina,2
Fantasie: animali,fantasie-animali,8
Fantasie: natura,fantasie-natura,5
Fantasie: personaggi,fantasie-personaggi,3
Fucsia e rosa vivace,fucsia-e-rosa-vivace,5
Giallo e ocra,giallo-e-ocra,14
Grigio melange e chiaro,grigio-melange-e-chiaro,3
Lilla e lavanda,lilla-e-lavanda,8
Marrone e mocha,marrone-e-mocha,4
Nero,nero,0
Off-white e cloud,off-white-e-cloud,4
Panna e avorio,panna-e-avorio,20
Prugna profondo,prugna-profondo,2
Rosa cipria e nude,rosa-cipria-e-nude,9
Rosa pastello e antico,rosa-pastello-e-antico,11
Rosso e ciliegia,rosso-e-ciliegia,12
Verde bosco e scuri,verde-bosco-e-scuri,7
Verde khaki e militare,verde-khaki-e-militare,17
Verde salvia e aloe,verde-salvia-e-aloe,5
Viola,viola,0
