sourceSheet,sourceRow,sourceCode,proposedSku,sourceModel,sourceDescription,productKind,sourceColor,canonicalColor,sourceSize,canonicalSize,sizeMappingConfidence,season,year,isCampionatura,location,stockQuantity,sourceQtyStock,sourceQtyDoha,sourceQtyReturned,unitCostSartoria,unitCostTessuto,unitCostFodera,unitCostAccessori,unitCostEtichettaLogo,matchStatus,action,wooProductId,wooVariationId,wooSku,wooProductName,candidateCount,candidateRefs,excludedReason,notes
MAGAZZINO - VESTITI NATALE AI22,3,ABNTRO02YA22,ABNTRO02YA22,Natalizio,,abito,RED TANGO,Rosso e ciliegia,2y,2 anni,approved_legend,AI,2022,false,Milano,0,0,0,0,16.5,11.2,,0,1.16,review_multiple_candidates,review_required,,,,,15,4529:4549:Abito in velluto manica lunga | 4503:4517:Abito Anjeliy Smanicato in velluto | 4406:Scrunchies in cotone - Rosso e ciliegia | 4382:Scrunchies in velluto - Rosso e ciliegia | 2038:2047:Top double-face fantasia marina | 2018:2034:Abito da cerimonia | 2017:2028:Top double-face fantasia aquiloni | 1973:2001:Abito Fantasia Ciliegine,,
MAGAZZINO - VESTITI NATALE AI22,4,ABNTRO03YA22,ABNTRO03YA22,Natalizio,,abito,RED TANGO,Rosso e ciliegia,3y,3-4 anni,approved_legend,AI,2022,false,Milano,0,0,0,0,16.5,11.2,,0,1.16,review_multiple_candidates,review_required,,,,,19,4529:4550:Abito in velluto manica lunga | 4503:4518:Abito Anjeliy Smanicato in velluto | 4406:Scrunchies in cotone - Rosso e ciliegia | 4382:Scrunchies in velluto - Rosso e ciliegia | 2038:2049:Top double-face fantasia marina | 2038:2048:Top double-face fantasia marina | 2018:2036:Abito da cerimonia | 2018:2035:Abito da cerimonia,,
MAGAZZINO - VESTITI NATALE AI22,5,ABNTRO04YA22,ABNTRO04YA22,Natalizio,,abito,RED TANGO,Rosso e ciliegia,4y,3-4 anni,approved_legend,AI,2022,false,Milano,0,0,0,0,16.5,11.2,,0,1.16,review_multiple_candidates,review_required,,,,,19,4529:4550:Abito in velluto manica lunga | 4503:4518:Abito Anjeliy Smanicato in velluto | 4406:Scrunchies in cotone - Rosso e ciliegia | 4382:Scrunchies in velluto - Rosso e ciliegia | 2038:2049:Top double-face fantasia marina | 2038:2048:Top double-face fantasia marina | 2018:2036:Abito da cerimonia | 2018:2035:Abito da cerimonia,,
MAGAZZINO - VESTITI NATALE AI22,6,ABNTRO06YA22,ABNTRO06YA22,Natalizio,,abito,RED TANGO,Rosso e ciliegia,6y,5-6 anni,approved_legend,AI,2022,false,Milano,2,2,0,0,16.5,11.2,,0,1.16,review_multiple_candidates,review_required,,,,,10,4529:4551:Abito in velluto manica lunga | 4503:4519:Abito Anjeliy Smanicato in velluto | 4406:Scrunchies in cotone - Rosso e ciliegia | 4382:Scrunchies in velluto - Rosso e ciliegia | 1506:1566:Abito Charlotte smanicato in mussola | 1303:Giacca in Denim | 780:Fermaglio Flower | 775:Fermaglio Écru,,
MAGAZZINO - VESTITI NATALE AI22,7,ABNTRO08YA22,ABNTRO08YA22,Natalizio,,abito,RED TANGO,Rosso e ciliegia,8y,7-8 anni,approved_legend,AI,2022,false,Milano,1,1,0,0,16.5,11.2,,0,1.16,review_multiple_candidates,review_required,,,,,10,4529:4552:Abito in velluto manica lunga | 4503:4520:Abito Anjeliy Smanicato in velluto | 4406:Scrunchies in cotone - Rosso e ciliegia | 4382:Scrunchies in velluto - Rosso e ciliegia | 1506:1567:Abito Charlotte smanicato in mussola | 1303:Giacca in Denim | 780:Fermaglio Flower | 775:Fermaglio Écru,,
MAGAZZINO - VESTITI NATALE AI22,8,ABNTCG03YA22,ABNTCG03YA22,Natalizio,,abito,CEDAR GREEN,Verde bosco e scuri,3,3-4 anni,approved_legend,AI,2022,false,Milano,1,1,0,0,16.5,9.7,,0,1.16,review_multiple_candidates,review_required,,,,,14,4563:4581:Sopravveste in velluto | 4529:4558:Abito in velluto manica lunga | 4381:Scrunchies in velluto - Verde bosco e scuri | 2038:2049:Top double-face fantasia marina | 2038:2048:Top double-face fantasia marina | 2018:2036:Abito da cerimonia | 2018:2035:Abito da cerimonia | 2017:2030:Top double-face fantasia aquiloni,,
MAGAZZINO - VESTITI NATALE AI22,9,ABNTCG04YA22,ABNTCG04YA22,Natalizio,,abito,CEDAR GREEN,Verde bosco e scuri,4,3-4 anni,approved_legend,AI,2022,false,Milano,1,1,0,0,16.5,9.7,,0,1.16,review_multiple_candidates,review_required,,,,,14,4563:4581:Sopravveste in velluto | 4529:4558:Abito in velluto manica lunga | 4381:Scrunchies in velluto - Verde bosco e scuri | 2038:2049:Top double-face fantasia marina | 2038:2048:Top double-face fantasia marina | 2018:2036:Abito da cerimonia | 2018:2035:Abito da cerimonia | 2017:2030:Top double-face fantasia aquiloni,,
MAGAZZINO - VESTITI NATALE AI22,10,ABNTCG06YA22,ABNTCG06YA22,Natalizio,,abito,CEDAR GREEN,Verde bosco e scuri,6,5-6 anni,approved_legend,AI,2022,false,Milano,0,0,0,0,16.5,9.7,,0,1.16,review_multiple_candidates,review_required,,,,,6,4563:4583:Sopravveste in velluto | 4529:4559:Abito in velluto manica lunga | 4381:Scrunchies in velluto - Verde bosco e scuri | 1303:Giacca in Denim | 780:Fermaglio Flower | 775:Fermaglio Écru,,
MAGAZZINO - VESTITI NATALE AI22,11,ABNTCG08YA22,ABNTCG08YA22,Natalizio,,abito,CEDAR GREEN,Verde bosco e scuri,8,7-8 anni,approved_legend,AI,2022,false,Milano,1,1,0,0,16.5,9.7,,0,1.16,review_multiple_candidates,review_required,,,,,6,4563:4585:Sopravveste in velluto | 4529:4560:Abito in velluto manica lunga | 4381:Scrunchies in velluto - Verde bosco e scuri | 1303:Giacca in Denim | 780:Fermaglio Flower | 775:Fermaglio Écru,,
MAGAZZINO - CAMPIONATURA ALEF,3,,FW-ERP-NA-PRODOTTO-4ANNI-3-4-ANNI-3,T-shirt maha,,,4ANNI,4ANNI,4ANNI,3-4 anni,approved_legend,,,true,Milano,1,1,0,0,32.4,6,,,1.16,review_multiple_candidates,review_required,,,,,28,4466:Fiocco Personaggi | 4449:Fiocco Fucsia | 4442:Fiocco Fantasia fiori | 4434:Fiocco elefantini | 4430:Fiocco Rapunzel | 4349:Cerchietto fantasia gatti | 2038:2049:Top double-face fantasia marina | 2038:2048:Top double-face fantasia marina,,color_mapping_requires_review|missing_or_nonseasonal_season|missing_year
