"taglia_di_partenza","taglia_di_destinazione","righe_sorgente"
"OS","Nessuna taglia","41"
"14","","5"
"13","","1"
"TU","Nessuna taglia","1"
"6y","5-6 anni","130"
"2 Y","2 anni","88"
"4 Y","3-4 anni","88"
"8y","7-8 anni","65"
"8 Y","7-8 anni","64"
"6 Y","5-6 anni","63"
"1 Y","1 anno","60"
"4y","3-4 anni","55"
"2y","2 anni","53"
"10Y","9-10 anni","44"
"1Y","1 anno","37"
"3 Y","3-4 anni","30"
"4 ANNI","3-4 anni","29"
"3 m.","0-3 mesi","28"
"12 m.","9-12 mesi","27"
"18 m.","1 anno","27"
"24 m.","2 anni","27"
"9 m.","6-9 mesi","27"
"6 m.","3-6 mesi","26"
"3y","3-4 anni","16"
"4ANNI","3-4 anni","12"
"10 Y","9-10 anni","11"
"12 M","9-12 mesi","9"
"18 M","1 anno","9"
"6 M","3-6 mesi","9"
"24 M","2 anni","7"
"12 Y","11-12 anni","6"
"4","3-4 anni","5"
"6","5-6 anni","4"
"5","5-6 anni","3"
"8","7-8 anni","3"
"9 M","6-9 mesi","3"
"3","3-4 anni","2"
"10","9-10 anni","1"
"11","11-12 anni","1"
"12","11-12 anni","1"
"12mesi","9-12 mesi","1"
"2","2 anni","1"
"24M","2 anni","1"
"3 M","0-3 mesi","1"
"36 M","3-4 anni","1"
"9","9-10 anni","1"
